X,Y
,
120,278
122,282
122,282
120,283
122,282
125,288
130,288
136,288
146,288
156,288
168,288
182,288
200,288
218,288
240,287
256,288
274,281
290,280
298,280
310,278
324,282
338,280
346,282
356,282
368,280
380,278
384,278
400,276
408,276
416,274
424,274
432,272
436,272
442,272
448,270
450,268
454,266
456,268
458,268
456,268
450,268
448,272
442,272
438,272
432,272
424,274
416,274
410,276
402,276
394,277
384,278
374,280
362,282
352,280
344,280
336,281
324,282
312,278
304,275
290,273
278,286
262,282
250,284
240,287
226,286
216,288
206,288
194,288
188,288
178,288
170,288
162,290
156,288
150,288
144,288
138,286
134,288
130,288
128,286
125,286
124,284
122,282
121,284
120,284
122,282
122,282
122,282
122,282
120,278
120,278
122,278
124,268
122,272
124,272
124,272
124,274
126,272
130,276
138,276
146,278
158,278
172,278
188,278
208,278
228,274
252,278
272,272
292,272
304,262
320,266
334,272
352,272
364,272
378,270
390,268
400,268
416,266
422,264
432,264
439,264
448,262
448,260
456,260
460,258
464,258
464,258
460,258
456,260
452,262
448,262
440,264
432,264
424,266
416,264
408,268
396,268
384,268
374,272
362,272
352,272
336,272
328,272
314,266
304,252
292,266
278,276
266,272
256,272
242,272
224,272
220,278
208,276
194,276
192,278
180,278
172,278
168,278
160,278
158,272
152,272
146,276
142,278
138,272
134,274
130,272
128,276
128,276
124,272
124,274
124,274
122,272
124,272
124,272
124,272
124,272
124,270
124,270
124,269
124,268
124,268
124,272
124,274
128,272
136,276
150,276
172,278
202,276
240,272
278,272
304,262
334,272
354,272
384,268
403,268
426,264
442,264
452,259
458,258
464,258
456,260
448,262
434,265
418,266
400,268
376,272
346,272
320,266
296,252
266,276
234,272
208,276
180,278
160,272
144,275
134,276
128,276
124,274
124,272
124,270
124,268
124,270
128,272
176,278
284,272
368,272
432,264
464,258
432,264
364,272
274,274
172,278
128,276
124,268
124,268
152,272
304,266
432,264
464,256
388,268
236,272
128,272
124,268
244,272
450,262
450,262
256,272
124,270
