X,Y
,
142,195
142,196
144,196
144,196
145,196
169,198
184,198
160,198
170,200
222,200
258,200
242,200
235,200
256,198
280,198
300,196
320,196
329,196
352,194
368,194
376,192
390,192
404,192
416,192
429,192
456,190
450,190
458,190
463,189
470,188
476,188
479,187
480,186
481,186
480,186
478,187
475,188
469,188
462,189
455,190
446,190
436,190
428,192
416,192
404,192
392,192
391,192
364,194
356,194
340,196
325,196
308,196
296,196
276,198
266,198
252,198
242,198
238,200
247,200
254,200
247,200
251,200
224,200
219,200
173,198
191,198
162,198
184,198
184,198
177,198
158,198
144,196
144,196
144,196
144,196
144,196
144,196
144,194
142,195
142,194
142,194
142,193
144,193
